,name,steps,averageEncounters,encounterablePokemons
0,kanto-route-1-area,31,6.2,"[('pidgey', 50, 'walk', 3.1), ('rattata', 50, 'walk', 3.1)]"
1,kanto-route-2-south-towards-viridian-city,0,0.0,"[('weedle', 15, 'walk', 0.0), ('pidgey', 45, 'walk', 0.0), ('rattata', 40, 'walk', 0.0)]"
2,kanto-route-2-north-towards-pewter-city,0,0.0,[]
3,viridian-forest-area,110,22.0,"[('caterpie', 5, 'walk', 1.1), ('metapod', 5, 'walk', 1.1), ('weedle', 45, 'walk', 9.9), ('kakuna', 40, 'walk', 8.8), ('pikachu', 5, 'walk', 1.1)]"
4,kanto-route-22-area,0,0.0,"[('rattata', 45, 'walk', 0.0), ('spearow', 10, 'walk', 0.0), ('nidoran-f', 5, 'walk', 0.0), ('nidoran-m', 40, 'walk', 0.0)]"
5,kanto-route-3-area,0,0.0,"[('pidgey', 45, 'walk', 0.0), ('spearow', 45, 'walk', 0.0), ('jigglypuff', 10, 'walk', 0.0)]"
6,mt-moon-mt-moon-square,0,0.0,[]
7,mt-moon-1f,0,0.0,"[('clefairy', 1, 'walk', 0.0), ('zubat', 79, 'walk', 0.0), ('paras', 5, 'walk', 0.0), ('geodude', 15, 'walk', 0.0)]"
8,mt-moon-2f,0,0.0,[]
9,mt-moon-b1f,0,0.0,"[('clefairy', 4, 'walk', 0.0), ('zubat', 60, 'walk', 0.0), ('paras', 10, 'walk', 0.0), ('geodude', 26, 'walk', 0.0)]"
10,mt-moon-b2f,0,0.0,"[('clefairy', 6, 'walk', 0.0), ('zubat', 49, 'walk', 0.0), ('paras', 15, 'walk', 0.0), ('geodude', 30, 'walk', 0.0)]"
11,kanto-route-4-area,0,0.0,"[('rattata', 40, 'walk', 0.0), ('spearow', 35, 'walk', 0.0), ('ekans', 25, 'walk', 0.0)]"
12,kanto-route-4-pokemon-center,0,0.0,"[('magikarp', 100, 'walk', 0.0)]"
13,kanto-route-24-area,0,0.0,"[('weedle', 20, 'walk', 0.0), ('kakuna', 20, 'walk', 0.0), ('pidgey', 20, 'walk', 0.0), ('oddish', 25, 'walk', 0.0), ('psyduck', 33, 'walk', 0.0), ('abra', 15, 'walk', 0.0)]"
14,kanto-route-25-area,0,0.0,"[('caterpie', 1, 'walk', 0.0), ('metapod', 4, 'walk', 0.0), ('weedle', 20, 'walk', 0.0), ('kakuna', 20, 'walk', 0.0), ('pidgey', 15, 'walk', 0.0), ('oddish', 25, 'walk', 0.0), ('psyduck', 33, 'walk', 0.0), ('abra', 15, 'walk', 0.0), ('krabby', 33, 'walk', 0.0)]"
15,kanto-route-11-area,0,0.0,"[('spearow', 35, 'walk', 0.0), ('ekans', 40, 'walk', 0.0), ('shellder', 50, 'walk', 0.0), ('drowzee', 25, 'walk', 0.0)]"
16,digletts-cave-area,0,0.0,"[('diglett', 95, 'walk', 0.0), ('dugtrio', 5, 'walk', 0.0)]"
